거래금액,거래유형,건축년도,년,법정동,아파트,월,일,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
"      77,000", ,1999,2020, 명일동,명일지에스아파트,1,3,84.9, ,332,11740,14, , 
"     100,000", ,1985,2020, 명일동,고덕주공9,1,4,83.93, ,257,11740,14, , 
"     144,000", ,1986,2020, 명일동,신동아,1,6,127.33, ,44,11740,14, , 
"      85,000", ,1987,2020, 명일동,고덕삼환아파트,1,8,84.644, ,41,11740,2, , 
"     118,500", ,1983,2020, 명일동,삼익그린2차,1,10,84.755, ,15,11740,4, , 
"      59,400", ,2004,2020, 명일동,우성102동,1,11,84.97, ,312-257,11740,5, , 
"     113,000", ,2019,2020, 명일동,래미안솔베뉴,1,11,59.11, ,359,11740,14, , 
"      94,500", ,2019,2020, 명일동,래미안솔베뉴,1,11,59.11, ,359,11740,27, , 
"      91,800", ,2019,2020, 명일동,래미안솔베뉴,1,11,49.68, ,359,11740,18, , 
"      60,000", ,2002,2020, 명일동,형인허브빌,1,13,84.43, ,354,11740,11, , 
"     140,000", ,1984,2020, 명일동,삼익그린2차,1,14,107.56, ,15,11740,10, , 
"      60,000", ,1999,2020, 명일동,명일지에스아파트,1,15,59.79, ,332,11740,8, , 
"      98,000", ,1983,2020, 명일동,삼익그린2차,1,15,66.87, ,15,11740,3, , 
"     115,000", ,1983,2020, 명일동,삼익그린2차,1,15,84.755, ,15,11740,14, , 
"     109,000", ,1986,2020, 명일동,한양,1,16,84.92, ,54,11740,13, , 
"     115,000", ,2019,2020, 명일동,래미안솔베뉴,1,17,78.84, ,359,11740,14, , 
"      60,300", ,1999,2020, 명일동,명일지에스아파트,1,17,59.79, ,332,11740,8, , 
"     101,000", ,1983,2020, 명일동,삼익그린2차,1,18,66.87, ,15,11740,14, , 
"     111,500", ,1983,2020, 명일동,삼익그린2차,1,18,84.755, ,15,11740,2, , 
"     135,000", ,2019,2020, 명일동,래미안솔베뉴,1,18,78.84, ,359,11740,12, , 
"     102,000", ,1985,2020, 명일동,고덕주공9,1,20,83.93, ,257,11740,14, , 
"     110,000", ,1986,2020, 명일동,신동아,1,23,81.07, ,44,11740,6, , 
"     127,000", ,1984,2020, 명일동,삼익가든,1,28,117.76, ,270,11740,3, , 
"      55,000", ,2004,2020, 명일동,우성102동,1,30,84.97, ,312-257,11740,2, , 
"     101,700", ,1984,2020, 명일동,삼익가든,1,30,82.45, ,270,11740,4, , 
"      74,500", ,1995,2020, 고덕동,배재현대,1,2,59.94, ,312,11740,20, , 
"     155,300", ,2016,2020, 고덕동,래미안힐스테이트고덕,1,3,109.81, ,688,11740,16, , 
"     147,500", ,2016,2020, 고덕동,래미안힐스테이트고덕,1,4,97.26, ,688,11740,14, , 
"      85,000", ,1996,2020, 고덕동,아남1,1,8,84.91, ,486,11740,15, , 
"     134,800", ,2016,2020, 고덕동,래미안힐스테이트고덕,1,9,84.88, ,688,11740,15, , 
"     140,000", ,2016,2020, 고덕동,래미안힐스테이트고덕,1,16,84.83, ,688,11740,22, , 
"     135,000", ,2016,2020, 고덕동,래미안힐스테이트고덕,1,17,84.94, ,688,11740,33, , 
"      58,000", ,1996,2020, 고덕동,아남1,1,18,50.2, ,486,11740,10, , 
"     117,000", ,2019,2020, 고덕동,고덕그라시움,1,19,59.785, ,693,11740,18, , 
"     118,800", ,2016,2020, 고덕동,래미안힐스테이트고덕,1,19,59.23, ,688,11740,27, , 
"     114,500", ,2016,2020, 고덕동,래미안힐스테이트고덕,1,20,59.23, ,688,11740,22, , 
"     139,500", ,2016,2020, 고덕동,래미안힐스테이트고덕,1,20,84.83, ,688,11740,27, , 
"      94,500", ,1995,2020, 고덕동,배재현대,1,21,84.9, ,312,11740,11, , 
"      56,000", ,1996,2020, 고덕동,아남1,1,27,84.91, ,486,11740,16, , 
"      80,000", ,1995,2020, 고덕동,배재현대,1,30,59.94, ,312,11740,5, , 
"      81,000", ,2020,2020, 상일동,고덕아르테온,1,3,59.98, ,519,11740,6, , 
"      52,000", ,1997,2020, 상일동,동아,1,8,84.94, ,473,11740,7, , 
"      89,900", ,2011,2020, 상일동,고덕리엔파크3단지,1,10,84.96, ,490,11740,8, , 
"      40,000", ,1997,2020, 상일동,동아,1,10,59.25, ,473,11740,15, , 
"      76,000", ,1992,2020, 상일동,중앙하이츠,1,16,84.23, ,476,11740,3, , 
"      39,400", ,1997,2020, 상일동,동아,1,16,59.25, ,473,11740,7, , 
"      39,000", ,1997,2020, 상일동,동아,1,17,59.25, ,473,11740,19, , 
"      69,000", ,1992,2020, 상일동,중앙하이츠,1,17,59.94, ,476,11740,4, , 
"      40,000", ,1997,2020, 상일동,동아,1,18,59.25, ,473,11740,16, , 
"      71,800", ,2011,2020, 상일동,고덕리엔파크3단지,1,20,59.72, ,490,11740,4, , 
"     104,000", ,2018,2020, 상일동,고덕숲아이파크,1,21,59.93, ,515,11740,5, , 
"      91,000", ,2011,2020, 상일동,고덕리엔파크3단지,1,22,84.96, ,490,11740,14, , 
"      56,000", ,1997,2020, 상일동,동아,1,31,84.94, ,473,11740,9, , 
"      87,000", ,2011,2020, 상일동,고덕리엔파크3단지,1,31,84.98, ,490,11740,3, , 
"      56,500", ,1992,2020, 길동,삼익세라믹,1,2,84.85, ,184,11740,6, , 
"      62,000", ,1983,2020, 길동,삼익파크맨션,1,2,62.91, ,53,11740,5, , 
"      60,000", ,1983,2020, 길동,삼익파크맨션,1,2,59.65, ,53,11740,10, , 
"      58,800", ,1989,2020, 길동,한전우성1,1,2,81.54, ,332,11740,2, , 
"      49,500", ,2003,2020, 길동,이스트드림힐,1,4,80.17, ,385-4,11740,12, , 
"      85,000", ,1983,2020, 길동,신동아,1,4,102.78, ,160,11740,6, , 
"      39,000", ,2004,2020, 길동,에이치비골드빌(103동),1,4,57.31, ,384-5,11740,9, , 
"     110,800", ,2003,2020, 길동,강동LG자이,1,4,126.43, ,474,11740,12, , 
"      55,500", ,1992,2020, 길동,삼익세라믹,1,6,84.85, ,184,11740,11, , 
"      49,300", ,2002,2020, 길동,희훈리치파크1,1,6,84.05, ,472,11740,3, , 
"      28,100", ,2019,2020, 길동,경지Arium,1,6,19.39, ,413-11,11740,9, , 
"      58,000", ,1983,2020, 길동,삼익파크맨션,1,7,79.57, ,53,11740,9, , 
"      21,400", ,2019,2020, 길동,경지Arium,1,7,14.12, ,413-11,11740,14, , 
"      51,000", ,2006,2020, 길동,강동한신휴플러스,1,7,84.98, ,414-10,11740,3, , 
"      10,680", ,2013,2020, 길동,청광플러스원큐브2차,1,8,14.495, ,457,11740,18, , 
"      21,400", ,2019,2020, 길동,경지Arium,1,9,14.12, ,413-11,11740,13, , 
"      60,500", ,1994,2020, 길동,길동우성,1,9,57.1, ,400,11740,3, , 
"      70,000", ,1989,2020, 길동,한전우성1,1,9,81.54, ,332,11740,6, , 
"      28,100", ,2019,2020, 길동,경지Arium,1,10,19.39, ,413-11,11740,11, , 
"      21,400", ,2019,2020, 길동,경지Arium,1,10,14.12, ,413-11,11740,14, , 
"      21,400", ,2019,2020, 길동,경지Arium,1,10,14.12, ,413-11,11740,15, , 
"      12,000", ,2013,2020, 길동,청광플러스원큐브2차,1,10,14.495, ,457,11740,17, , 
"      60,000", ,1982,2020, 길동,삼익파크맨션,1,10,56.16, ,53,11740,6, , 
"      49,800", ,2006,2020, 길동,강동한신휴플러스,1,10,84.98, ,414-10,11740,7, , 
"      13,400", ,2012,2020, 길동,다성이즈빌(349-1),1,10,17.2, ,349-1,11740,7, , 
"      75,000", ,1983,2020, 길동,삼익파크맨션,1,11,79.57, ,53,11740,12, , 
"      21,400", ,2019,2020, 길동,경지Arium,1,11,14.12, ,413-11,11740,13, , 
"      47,600", ,2006,2020, 길동,SM해그린12차,1,11,80.82, ,97-6,11740,7, , 
"      56,450", ,2006,2020, 길동,광남캐스빌(247-0),1,11,84.44, ,247,11740,9, , 
"      50,800", ,2002,2020, 길동,SM드림빌,1,11,77.05, ,378-1,11740,7, , 
"      52,700", ,2004,2020, 길동,광남벨라스613V,1,11,84.13, ,385-3,11740,8, , 
"      54,000", ,1992,2020, 길동,삼익세라믹,1,12,84.85, ,184,11740,2, , 
"      90,000", ,1983,2020, 길동,신동아,1,13,102.8, ,160,11740,9, , 
"      20,500", ,2019,2020, 길동,경지Arium,1,13,14.12, ,413-11,11740,3, , 
"      41,000", ,2006,2020, 길동,웅주아크로파크,1,13,84.44, ,320-9,11740,3, , 
"      21,400", ,2019,2020, 길동,경지Arium,1,14,14.12, ,413-11,11740,13, , 
"      28,900", ,2018,2020, 길동,다성이즈빌,1,14,22.96, ,456-4,11740,13, , 
"      51,000", ,2004,2020, 길동,에이치비골드빌(103동),1,14,74.51, ,384-5,11740,5, , 
"      52,500", ,2009,2020, 길동,동서울오네뜨,1,15,84.87, ,339-1,11740,5, , 
"      25,700", ,2006,2020, 길동,청원파크빌3,1,15,77.27, ,103-5,11740,3, , 
"      21,400", ,2019,2020, 길동,경지Arium,1,16,14.33, ,413-11,11740,16, , 
"      70,000", ,1983,2020, 길동,신동아,1,16,73.04, ,160,11740,1, , 
"      44,000", ,2004,2020, 길동,에스엠이로빌,1,16,83.93, ,358-1,11740,4, , 
"      21,400", ,2019,2020, 길동,경지Arium,1,17,14.12, ,413-11,11740,14, , 
"      21,400", ,2019,2020, 길동,경지Arium,1,17,14.12, ,413-11,11740,14, , 
"      11,000", ,2014,2020, 길동,청광플러스원큐브3차,1,17,13.265, ,415-16,11740,11, , 
"      28,100", ,2019,2020, 길동,경지Arium,1,17,19.39, ,413-11,11740,10, , 
"      52,000", ,2006,2020, 길동,강동한신휴플러스,1,18,84.98, ,414-10,11740,4, , 
"      51,000", ,2006,2020, 길동,강동한신휴플러스,1,18,81.02, ,414-10,11740,11, , 
"      52,800", ,1994,2020, 길동,길동우성,1,18,40.36, ,400,11740,5, , 
"      11,300", ,2013,2020, 길동,강동큐브(2차),1,19,15.12, ,415-13,11740,12, , 
"     120,000", ,2003,2020, 길동,강동LG자이,1,20,147.17, ,474,11740,12, , 
"      57,000", ,1996,2020, 길동,주풍그린빌,1,20,139.61, ,323-1,11740,3, , 
"      26,900", ,2018,2020, 길동,다성이즈빌(387-4),1,20,21.32, ,387-4,11740,7, , 
"      40,800", ,2004,2020, 길동,에이치비골드빌(103동),1,21,62.39, ,384-5,11740,10, , 
"      20,800", ,2019,2020, 길동,경지Arium,1,21,14.12, ,413-11,11740,6, , 
"      58,200", ,1992,2020, 길동,삼익세라믹,1,22,84.85, ,184,11740,8, , 
"      61,050", ,1994,2020, 길동,길동우성,1,23,57.1, ,400,11740,4, , 
"      28,700", ,2015,2020, 길동,다성이즈빌(주상복합),1,23,36.62, ,388-7,11740,6, , 
"      58,200", ,1992,2020, 길동,삼익세라믹,1,23,84.85, ,184,11740,8, , 
"      74,500", ,1982,2020, 길동,삼익파크맨션,1,27,72.89, ,53,11740,10, , 
"      14,000", ,2012,2020, 길동,다성이즈빌(349-1),1,28,16.88, ,349-1,11740,6, , 
"      50,000", ,1994,2020, 길동,길동우성,1,28,40.36, ,400,11740,9, , 
"      20,500", ,2019,2020, 길동,경지Arium,1,28,14.33, ,413-11,11740,3, , 
"      11,500", ,2014,2020, 길동,강동렘브란트,1,28,15.86, ,457-1,11740,8, , 
"      20,500", ,2019,2020, 길동,경지Arium,1,28,14.12, ,413-11,11740,3, , 
"      56,500", ,1999,2020, 길동,신동아4,1,29,81.5, ,92,11740,10, , 
"      47,700", ,2001,2020, 길동,한빛골드빌1차,1,29,72.41, ,384-1,11740,4, , 
"      55,000", ,2004,2020, 길동,광남벨라스613V,1,29,84.13, ,385-3,11740,3, , 
"      54,000", ,2004,2020, 길동,에이치비골드빌(103동),1,29,83.11, ,384-5,11740,14, , 
"      27,500", ,2019,2020, 길동,경지Arium,1,29,19.39, ,413-11,11740,4, , 
"      41,000", ,1998,2020, 길동,문화1,1,30,59.92, ,356-8,11740,5, , 
"      90,000", ,2003,2020, 길동,강동LG자이,1,30,84.88, ,474,11740,8, , 
"      41,000", ,2006,2020, 길동,청원파크빌3,1,30,75.1, ,103-5,11740,1, , 
"      21,100", ,2019,2020, 길동,경지Arium,1,30,14.12, ,413-11,11740,9, , 
"      12,000", ,2014,2020, 길동,청광플러스원큐브3차,1,30,13.265, ,415-16,11740,13, , 
"      95,000", ,2020,2020, 길동,이편한세상강동에코포레,1,31,59.99, ,477,11740,7, , 
"      65,000", ,1983,2020, 길동,삼익파크맨션,1,31,59.65, ,53,11740,5, , 
