갱신요구권사용,건축년도,계약구분,계약기간,년,법정동,보증금액,아파트,월,월세금액,일,전용면적,종전계약보증금,종전계약월세,지번,지역코드,층
 ,2002, , ,2020,신교동,"20,000",신현(101동),2,100,17,84.82, , ,6-13,11110,3
 ,1999, , ,2020,통인동,"17,000",효자,2,0,12,61.49, , ,5-1,11110,3
 ,2007, , ,2020,필운동,"74,000",신동아블루아광화문의꿈,2,0,20,111.97, , ,254,11110,6
 ,2007, , ,2020,필운동,"75,000",신동아블루아광화문의꿈,2,0,27,108.95, , ,254,11110,7
 ,2008, , ,2020,사직동,"75,000",광화문스페이스본(101동~105동),2,0,13,94.51, , ,9,11110,12
 ,2008, , ,2020,사직동,"110,000",광화문스페이스본(106동),2,0,14,162.14, , ,9-1,11110,9
 ,2008, , ,2020,사직동,"100,000",광화문스페이스본(101동~105동),2,0,25,160.85, , ,9,11110,5
 ,2008, , ,2020,사직동,"85,000",광화문스페이스본(101동~105동),2,0,28,136.4, , ,9,11110,11
 ,2008, , ,2020,사직동,"10,000",광화문스페이스본(101동~105동),2,330,29,159.01, , ,9,11110,7
 ,2008, , ,2020,사직동,"10,000",광화문스페이스본(101동~105동),2,350,29,159.01, , ,9,11110,7
 ,1981, , ,2020,당주동,"45,000",롯데미도파광화문빌딩,2,0,9,93.36, , ,145,11110,7
 ,2004, , ,2020,내수동,"60,000",경희궁의아침3단지,2,120,12,149, , ,72,11110,4
 ,2003, , ,2020,내수동,"75,000",경희궁파크팰리스,2,0,28,103.77, , ,95,11110,7
 ,2003, , ,2020,익선동,"4,000",현대뜨레비앙,2,75,1,43.98, , ,55,11110,6
 ,2003, , ,2020,익선동,"1,000",현대뜨레비앙,2,85,5,36.08, , ,55,11110,6
 ,2003, , ,2020,익선동,"1,000",현대뜨레비앙,2,90,10,43.98, , ,55,11110,6
 ,1998, , ,2020,익선동,"5,000",운현신화타워,2,80,10,57.18, , ,30-6,11110,11
 ,2003, , ,2020,익선동,"25,000",현대뜨레비앙,2,0,28,46.64, , ,55,11110,5
 ,2013, , ,2020,경운동,"1,500",삼성빌딩,2,50,1,17.69, , ,22,11110,3
 ,2006, , ,2020,인의동,"51,500",효성쥬얼리시티,2,0,10,84.64, , ,48-2,11110,16
 ,2006, , ,2020,인의동,"50,000",효성쥬얼리시티,2,0,10,84.64, , ,48-2,11110,11
 ,2017, , ,2020,효제동,"5,000",포레스트힐시티,2,53,4,14.6825, , ,65-2,11110,14
 ,2017, , ,2020,효제동,"1,000",포레스트힐시티,2,66,10,14.6825, , ,65-2,11110,11
 ,2017, , ,2020,효제동,"1,000",포레스트힐시티,2,86,22,20.5523, , ,65-2,11110,12
 ,2017, , ,2020,효제동,"5,000",포레스트힐시티,2,60,27,20.3861, , ,65-2,11110,8
 ,2014, , ,2020,연건동,"14,330",이화에수풀,2,0,17,16.98, , ,195-10,11110,8
 ,1995, , ,2020,명륜2가,"62,000",아남1,2,0,1,84.9, , ,4,11110,18
 ,1995, , ,2020,명륜2가,"62,000",아남1,2,0,1,84.9, , ,4,11110,18
 ,1999, , ,2020,명륜2가,"48,000",아남3,2,10,1,65.78, , ,237,11110,8
 ,1999, , ,2020,명륜2가,"5,000",아남3,2,110,3,47.43, , ,237,11110,5
 ,1999, , ,2020,명륜2가,"15,000",아남3,2,70,6,47.43, , ,237,11110,6
 ,1995, , ,2020,명륜2가,"55,000",아남1,2,0,9,84.9, , ,4,11110,13
 ,2019, , ,2020,명륜2가,"1,000",어젤리아명륜2,2,73,11,33.2389, , ,8,11110,4
 ,1999, , ,2020,명륜2가,"35,000",아남3,2,30,11,61.13, , ,237,11110,4
 ,1995, , ,2020,명륜2가,"60,000",아남1,2,0,12,84.8, , ,4,11110,16
 ,1999, , ,2020,명륜2가,"47,500",아남3,2,0,13,65.78, , ,237,11110,6
 ,1995, , ,2020,명륜2가,"20,000",아남1,2,120,20,84.8, , ,4,11110,13
 ,2019, , ,2020,명륜2가,"1,000",어젤리아명륜1,2,83,24,40.1578, , ,8-67,11110,7
 ,1995, , ,2020,명륜2가,"60,000",아남1,2,0,27,84.9, , ,4,11110,15
 ,1999, , ,2020,명륜2가,"10,000",아남3,2,85,28,47.43, , ,237,11110,4
 ,1999, , ,2020,명륜2가,"5,000",아남3,2,100,29,50.49, , ,237,11110,3
 ,1992, , ,2020,창신동,"28,000",창신쌍용1,2,0,1,54.7, , ,702,11110,4
 ,1992, , ,2020,창신동,"28,000",창신쌍용1,2,0,1,54.7, , ,702,11110,11
 ,1993, , ,2020,창신동,"27,000",창신쌍용2,2,0,4,54.7, , ,703,11110,5
 ,1993, , ,2020,창신동,"27,000",창신쌍용2,2,0,4,54.7, , ,703,11110,5
 ,2002, , ,2020,창신동,"22,000",MID그린(8동),2,0,7,59.01, , ,602-1,11110,7
 ,1992, , ,2020,창신동,"31,000",창신쌍용1,2,0,7,79.87, , ,702,11110,7
 ,1999, , ,2020,창신동,"38,000",두산,2,0,7,59.95, , ,232,11110,22
 ,1993, , ,2020,창신동,"26,000",창신쌍용2,2,0,7,54.7, , ,703,11110,10
 ,1992, , ,2020,창신동,"34,000",창신쌍용1,2,0,10,79.87, , ,702,11110,10
 ,1993, , ,2020,창신동,"23,850",창신쌍용2,2,0,10,54.7, , ,703,11110,3
 ,1993, , ,2020,창신동,"29,000",창신쌍용2,2,0,11,79.87, , ,703,11110,10
 ,1999, , ,2020,창신동,"49,000",두산,2,0,11,84.9, , ,232,11110,12
 ,2003, , ,2020,창신동,"45,000",창신이수,2,0,13,84.5, , ,23-816,11110,8
 ,1993, , ,2020,창신동,"5,000",창신쌍용2,2,100,13,79.87, , ,703,11110,11
 ,1993, , ,2020,창신동,"16,000",창신쌍용2,2,60,14,79.87, , ,703,11110,2
 ,1993, , ,2020,창신동,"24,000",창신쌍용2,2,0,14,54.7, , ,703,11110,1
 ,1993, , ,2020,창신동,"26,000",창신쌍용2,2,0,15,54.7, , ,703,11110,13
 ,1992, , ,2020,창신동,"34,000",창신쌍용1,2,0,15,79.87, , ,702,11110,10
 ,1993, , ,2020,창신동,"27,000",창신쌍용2,2,0,15,54.7, , ,703,11110,9
 ,1993, , ,2020,창신동,"24,000",창신쌍용2,2,0,17,54.7, , ,703,11110,6
 ,1999, , ,2020,창신동,"10,000",두산,2,80,19,59.95, , ,232,11110,18
 ,1993, , ,2020,창신동,"31,000",창신쌍용2,2,0,19,79.87, , ,703,11110,2
 ,1993, , ,2020,창신동,"3,000",창신쌍용2,2,100,22,64.66, , ,703,11110,3
 ,1993, , ,2020,창신동,"26,000",창신쌍용2,2,0,23,64.66, , ,703,11110,1
 ,1993, , ,2020,창신동,"1,000",창신쌍용2,2,30,25,79.87, , ,703,11110,8
 ,1999, , ,2020,창신동,"38,000",두산,2,0,25,59.95, , ,232,11110,18
