갱신요구권사용,건축년도,계약구분,계약기간,년,법정동,보증금액,아파트,월,월세금액,일,전용면적,종전계약보증금,종전계약월세,지번,지역코드,층
 ,2008, , ,2020,사직동,"75,000",광화문스페이스본(101동~105동),5,0,8,94.51, , ,9,11110,1
 ,2008, , ,2020,사직동,"95,000",광화문스페이스본(101동~105동),5,0,11,151.81, , ,9,11110,9
 ,2008, , ,2020,사직동,"40,000",광화문스페이스본(101동~105동),5,250,21,146.92, , ,9,11110,12
 ,2008, , ,2020,사직동,"75,000",광화문스페이스본(101동~105동),5,0,23,94.28, , ,9,11110,7
 ,2008, , ,2020,사직동,"5,000",광화문스페이스본(101동~105동),5,250,26,94.51, , ,9,11110,8
 ,1981, , ,2020,당주동,"28,000",롯데미도파광화문빌딩,5,0,29,65.82, , ,145,11110,9
 ,2003, , ,2020,내수동,"4,000",경희궁파크팰리스,5,150,6,103.77, , ,95,11110,12
 ,2003, , ,2020,내수동,"60,000",경희궁파크팰리스,5,0,7,117.26, , ,95,11110,8
 ,2005, , ,2020,수송동,"32,000",로얄팰리스스위트,5,0,5,43.07, , ,85,11110,10
 ,2003, , ,2020,익선동,"1,000",현대뜨레비앙,5,90,5,43.98, , ,55,11110,6
 ,2003, , ,2020,익선동,"4,000",현대뜨레비앙,5,80,18,46.64, , ,55,11110,2
 ,2003, , ,2020,익선동,"3,000",현대뜨레비앙,5,90,20,48.54, , ,55,11110,6
 ,2003, , ,2020,익선동,"3,000",현대뜨레비앙,5,90,23,48.54, , ,55,11110,6
 ,2003, , ,2020,익선동,"1,000",현대뜨레비앙,5,85,30,45.5, , ,55,11110,5
 ,2006, , ,2020,인의동,"55,000",효성쥬얼리시티,5,0,4,92.81, , ,48-2,11110,15
 ,2006, , ,2020,인의동,"62,000",효성쥬얼리시티,5,0,21,106.81, , ,48-2,11110,7
 ,2006, , ,2020,인의동,"15,000",효성쥬얼리시티,5,130,27,106.81, , ,48-2,11110,14
 ,2017, , ,2020,효제동,"2,000",포레스트힐시티,5,65,19,15.879, , ,65-2,11110,14
 ,2017, , ,2020,효제동,"1,000",포레스트힐시티,5,70,22,16.672, , ,65-2,11110,5
 ,2004, , ,2020,이화동,"35,000",송림아마레스아파트,5,0,9,84.42, , ,9-1,11110,4
 ,2011, , ,2020,충신동,"18,000",CS타워,5,0,15,22.17, , ,62-2,11110,10
 ,1999, , ,2020,명륜2가,"4,000",아남3,5,105,9,47.43, , ,237,11110,5
 ,1995, , ,2020,명륜2가,"27,000",아남1,5,80,18,84.8, , ,4,11110,17
 ,1999, , ,2020,명륜2가,"5,000",아남3,5,100,25,50.49, , ,237,11110,4
 ,1995, , ,2020,명륜2가,"62,000",아남1,5,0,29,84.8, , ,4,11110,15
 ,1993, , ,2020,창신동,"30,000",창신쌍용2,5,0,2,64.66, , ,703,11110,6
 ,1993, , ,2020,창신동,"30,000",창신쌍용2,5,0,2,64.66, , ,703,11110,6
 ,2006, , ,2020,창신동,"14,000",브라운스톤창신,5,110,2,84.81, , ,23-76,11110,14
 ,1999, , ,2020,창신동,"4,000",두산,5,115,2,59.95, , ,232,11110,2
 ,1999, , ,2020,창신동,"37,000",두산,5,0,2,59.95, , ,232,11110,1
 ,1999, , ,2020,창신동,"5,000",두산,5,110,4,59.95, , ,232,11110,5
 ,1966, , ,2020,창신동,"5,100",동대문,5,20,9,28.8, , ,328-17,11110,4
 ,2002, , ,2020,창신동,"15,000",MID그린(8동),5,20,9,59.01, , ,602-1,11110,6
