갱신요구권사용,건축년도,계약구분,계약기간,년,법정동,보증금액,아파트,월,월세금액,일,전용면적,종전계약보증금,종전계약월세,지번,지역코드,층
 ,1999, , ,2021,누상동,"14,700",청호그린빌,3,0,30,29.76, , ,40,11110,4
 ,2008, , ,2021,사직동,"84,000",광화문스페이스본(101동~105동),3,75,6,151.81, , ,9,11110,14
 ,2008, , ,2021,사직동,"60,000",광화문스페이스본(101동~105동),3,170,18,108.07, , ,9,11110,2
 ,2008, , ,2021,사직동,"53,000",광화문스페이스본(101동~105동),3,70,24,108.55, , ,9,11110,2
 ,1983, , ,2021,당주동,"2,000",세종,3,130,2,91.46, , ,100,11110,8
 ,2004, , ,2021,내수동,"126,000",경희궁의아침3단지,3,0,1,174.55, , ,72,11110,15
 ,2004, , ,2021,내수동,"5,000",경희궁의아침2단지,3,400,18,174.55, , ,71,11110,15
 ,2003, , ,2021,내수동,"50,000",경희궁파크팰리스,3,130,24,103.77, , ,95,11110,14
 ,2008, , ,2021,견지동,"72,450",대성스카이렉스,3,0,6,149.72, , ,110,11110,15
 ,2003, , ,2021,익선동,"23,500",현대뜨레비앙,3,0,13,43.98, , ,55,11110,5
 ,2003, , ,2021,익선동,"4,000",현대뜨레비앙,3,80,17,46.64, , ,55,11110,2
 ,1998, , ,2021,익선동,"30,000",운현신화타워,3,0,30,47.61, , ,30-6,11110,15
 ,1968, , ,2021,낙원동,"21,000",낙원,3,0,4,107.17, , ,288,11110,13
 ,2006, , ,2021,인의동,"10,000",효성쥬얼리시티,3,200,22,98.39, , ,48-2,11110,10
 ,2017, , ,2021,효제동,"15,855",포레스트힐시티,3,0,24,14.1832, , ,65-2,11110,13
 ,2017, , ,2021,효제동,"15,750",포레스트힐시티,3,0,26,14.6825, , ,65-2,11110,7
 ,1995, , ,2021,명륜1가,"17,000",방산(5-102),3,0,18,59.46, , ,5-102,11110,3
 ,1999, , ,2021,명륜2가,"3,000",아남3,3,120,12,47.43, , ,237,11110,5
 ,1995, ,21.04~23.04,2021,명륜2가,"60,000",아남1,3,0,29,84.9, , ,4,11110,13
 ,2003, , ,2021,창신동,"50,000",창신이수,3,0,1,84.5, , ,23-816,11110,7
 ,2002, , ,2021,창신동,"18,000",일우,3,0,5,59.3, , ,602,11110,1
 ,1992, , ,2021,창신동,"29,000",창신쌍용1,3,0,6,54.7, , ,702,11110,6
 ,1992, , ,2021,창신동,"51,000",창신쌍용1,3,0,6,79.87, , ,702,11110,13
 ,1999, , ,2021,창신동,"36,750",두산,3,0,10,59.95, , ,232,11110,2
 ,1992, , ,2021,창신동,"38,000",창신쌍용1,3,0,11,54.7, , ,702,11110,11
 ,1999, , ,2021,창신동,"37,800",두산,3,0,13,59.95, , ,232,11110,4
 ,1993, , ,2021,창신동,"35,000",창신쌍용2,3,0,13,64.66, , ,703,11110,4
 ,1993, , ,2021,창신동,"27,300",창신쌍용2,3,0,13,64.66, , ,703,11110,9
 ,1992, , ,2021,창신동,"10,000",창신쌍용1,3,110,13,79.87, , ,702,11110,14
 ,1966, , ,2021,창신동,"1,000",동대문,3,50,15,28.8, , ,328-17,11110,3
 ,1966, , ,2021,창신동,"1,000",동대문,3,50,15,28.8, , ,328-17,11110,3
 ,1966, , ,2021,창신동,500,동대문,3,60,15,28.8, , ,328-17,11110,5
 ,1999, , ,2021,창신동,"6,000",두산,3,100,17,59.95, , ,232,11110,8
 ,1992, , ,2021,창신동,"35,000",창신쌍용1,3,0,17,54.7, , ,702,11110,13
 ,1992, , ,2021,창신동,"45,000",창신쌍용1,3,0,19,79.87, , ,702,11110,9
 ,1992, , ,2021,창신동,"40,000",창신쌍용1,3,0,19,54.7, , ,702,11110,10
 ,1993, ,21.09~23.09,2021,창신동,"34,000",창신쌍용2,3,0,20,79.87, , ,703,11110,13
 ,1993, , ,2021,창신동,"34,000",창신쌍용2,3,0,20,79.87, , ,703,11110,13
 ,1993, , ,2021,창신동,"36,500",창신쌍용2,3,0,27,106.62, , ,703,11110,12
 ,1999, , ,2021,창신동,"5,000",두산,3,120,27,59.95, , ,232,11110,21
 ,1993, ,21.06~23.06,2021,창신동,"26,250",창신쌍용2,3,0,27,64.66, , ,703,11110,8
 ,1995, , ,2021,창신동,"4,000",미니,3,60,29,53.73, , ,638-36,11110,2
 ,1992, ,21.06~23.06,2021,창신동,"5,000",창신쌍용1,3,75,29,54.7, , ,702,11110,8
 ,1993, , ,2021,창신동,"40,000",창신쌍용2,3,0,30,64.66, , ,703,11110,3
 ,1993, , ,2021,창신동,"44,000",창신쌍용2,3,0,30,79.87, , ,703,11110,14
 ,2013, , ,2021,숭인동,"6,000",익성씨티하임,3,30,2,15.76, , ,1392,11110,10
 ,2008, , ,2021,숭인동,"55,000",종로센트레빌,3,0,3,59.92, , ,2-1,11110,5
 ,2009, , ,2021,숭인동,"73,000",종로청계힐스테이트,3,0,3,84.9478, , ,766,11110,13
 ,2000, , ,2021,숭인동,"22,000",숭인모범101동,3,0,3,59.64, , ,569,11110,4
 ,2013, , ,2021,숭인동,"1,000",종로중흥S클래스,3,55,3,17.811, , ,202-3,11110,9
 ,2008, , ,2021,숭인동,"55,000",종로센트레빌,3,0,3,59.92, , ,2-1,11110,5
 ,2013, , ,2021,숭인동,"11,500",익성씨티하임,3,0,4,14.48, , ,1392,11110,15
 ,2009, , ,2021,숭인동,"51,500",종로청계힐스테이트,3,0,5,84.9478, , ,766,11110,8
 ,2009, , ,2021,숭인동,"58,000",종로청계힐스테이트,3,0,6,59.9426, , ,766,11110,8
 ,2013, , ,2021,숭인동,"12,000",종로아인스빌,3,0,8,12.15, , ,1392-1,11110,13
 ,1979, , ,2021,숭인동,"25,000",숭인상가,3,0,8,78.75, , ,204-11,11110,5
 ,2015, , ,2021,숭인동,"4,864",영하우스,3,36,9,20.27, , ,207-32,11110,8
 ,2013, , ,2021,숭인동,"5,000",익성씨티하임,3,35,10,15.76, , ,1392,11110,11
 ,2013, , ,2021,숭인동,"4,000",종로중흥S클래스,3,40,10,19.466, , ,202-3,11110,11
 ,2013, , ,2021,숭인동,500,종로동광모닝스카이,3,55,10,15.855, , ,1421-1,11110,9
